t,tau_u_applied,tau_r_applied,T1_applied,T2_applied
76.666666667,14.520274371,-0.247031408,6.785076785,7.735197586
76.700000000,14.517557675,-0.246618519,6.784512455,7.733045220
76.733333333,14.514703003,-0.246214945,6.783861223,7.730841780
76.766666667,14.511709754,-0.245820702,6.783122758,7.728586997
76.800000000,14.508577343,-0.245435806,6.782296737,7.726280606
76.833333333,14.505305195,-0.245060273,6.781382842,7.723922353
76.866666667,14.501892751,-0.244694119,6.780380762,7.721511989
76.900000000,14.498339465,-0.244337361,6.779290192,7.719049273
76.933333333,14.494644803,-0.243990015,6.778110833,7.716533970
76.966666667,14.490808248,-0.243652099,6.776842394,7.713965854
77.000000000,14.486829293,-0.243323630,6.775484589,7.711344704
77.033333333,14.482707448,-0.243004625,6.774037138,7.708670310
77.066666667,14.478442234,-0.242695101,6.772499769,7.705942465
77.100000000,14.474033186,-0.242395077,6.770872215,7.703160972
77.133333333,14.469479856,-0.242104571,6.769154215,7.700325641
77.166666667,14.464781806,-0.241823601,6.767345517,7.697436289
77.200000000,14.459938614,-0.241552186,6.765445873,7.694492742
77.233333333,14.454949872,-0.241290345,6.763455041,7.691494831
77.266666667,14.449815185,-0.241038098,6.761372788,7.688442397
77.300000000,14.444534172,-0.240795464,6.759198885,7.685335287
77.333333333,14.439106467,-0.240562464,6.756933111,7.682173356
77.366666667,14.433531717,-0.240339116,6.754575250,7.678956467
77.400000000,14.427809584,-0.240125443,6.752125093,7.675684491
77.433333333,14.421939745,-0.239921466,6.749582439,7.672357306
77.466666667,14.415921888,-0.239727204,6.746947090,7.668974798
77.500000000,14.409755719,-0.239542681,6.744218857,7.665536861
77.533333333,14.403440955,-0.239367918,6.741397557,7.662043397
77.566666667,14.396977329,-0.239202938,6.738483014,7.658494315
77.600000000,14.390364589,-0.239047764,6.735475056,7.654889532
77.633333333,14.383602495,-0.238902418,6.732373521,7.651228975
77.666666667,14.376690824,-0.238766925,6.729178249,7.647512575
77.700000000,14.369629365,-0.238641307,6.725889092,7.643740274
77.733333333,14.362417924,-0.238525591,6.722505902,7.639912021
77.766666667,14.355056318,-0.238419800,6.719028544,7.636027774
77.800000000,14.347544381,-0.238323960,6.715456884,7.632087498
77.833333333,14.339881962,-0.238238096,6.711790797,7.628091165
77.866666667,14.332068923,-0.238162234,6.708030165,7.624038757
77.900000000,14.324105140,-0.238096401,6.704174876,7.619930264
77.933333333,14.315990505,-0.238040624,6.700224822,7.615765682
77.966666667,14.307724924,-0.237994929,6.696179905,7.611545019
